Column 1,Column 2,Gemini_Culture-aware.csv,Gemini_Title_and_Synopsis.csv,Gemini_Title-only.csv,gpt_Culture-aware.csv,gpt_Title_and_Synopsis.csv,gpt_Title-only.csv,Llama_Culture-aware.csv,Llama_Title_and_Synopsis.csv,Llama_Title-only.csv
Sparkling Red Star,闪闪的红星 孩子的天空,0.6456,0.8455,0.5882,0.4516,0.8571,0.5594,0.1626,0.7256,0.6043
Wonderful! Liang Xi Mei,旺得福梁细妹,0.8063,0.9141,0.8401,0.5579,1.0000,0.4424,0.3351,0.7211,0.7211
Saturday Fiction,兰心大剧院,0.1343,0.2222,1.0000,0.2168,1.0000,0.2139,0.3042,0.2489,0.2707
The Sacrifice,金刚川,0.2710,0.2686,1.0000,0.3056,1.0000,0.2550,0.1954,0.2090,0.1149
The Traveller,异人之下,0.2250,0.1511,0.2529,0.2373,0.0999,0.2989,0.2748,0.2739,0.3830
Mulan Angels 2: Treasure Map,木兰特工之藏宝图,0.6010,0.7958,0.8727,0.8110,0.7958,0.8161,0.6260,0.7202,0.1561
Youth,芳华,0.3131,1.0000,1.0000,0.1542,1.0000,1.0000,0.6344,1.0000,1.0000
Return to Lanruo Temple,兰若行者,0.1631,0.4129,0.4992,0.5291,0.5559,0.4129,0.1838,0.1152,0.1160
160 Years Old,雨打芭蕉,0.2010,0.0288,-0.0175,0.0195,0.0357,0.0064,0.1037,0.0509,0.0808
The Iron Coffin of Western Xia,洗冤录之西夏铁棺,0.0778,0.9693,0.9105,0.8705,0.9821,0.7993,0.9947,0.9693,0.7562
White Snake: Afloat,白蛇：浮生,0.7438,0.8103,0.8327,0.6077,0.6982,0.8327,0.6828,0.7597,0.7681
The Fatality,絕魂印,0.2409,0.3152,0.2468,0.2691,0.2405,0.3064,0.3369,0.3252,0.1867
The Myth,神話,0.1774,1.0000,1.0000,0.4617,1.0000,1.0000,0.5798,0.7132,0.8501
Free as Love,浮生若夢,0.2727,0.2962,0.2732,0.3055,0.3387,0.3387,0.3387,0.3387,0.3038
Taishan Kung Fu,泰山功夫,0.7192,1.0000,0.7425,0.7489,0.8321,0.7425,0.3021,0.8649,0.7565
The Ghost Story: Lin Suk,聊齋艷譚：连锁,0.4393,0.4155,0.1906,0.3499,0.0564,0.0564,0.3854,0.3061,0.4022
The Warlords,投名狀,0.2385,1.0000,1.0000,0.2869,1.0000,0.2289,0.1482,0.9313,0.2954
Reign of Assassins,剑雨,0.1514,1.0000,0.6516,0.2091,1.0000,0.2571,0.3231,0.3231,0.3532
Ma Yongzhen: Duel in Zhabei,马永贞之闸北决,0.1221,0.9061,0.9775,0.8289,0.8696,0.8600,0.5940,0.7758,0.5302
Nine Colors Deer King,九色鹿王·前尘,0.7254,0.8953,0.7849,0.7493,0.7605,0.7419,0.7270,0.7900,0.8123
Iron Kung Fu Fist,广东十虎：铁拳无敌,0.4434,0.5145,0.5259,0.4553,0.5224,0.5145,0.5518,0.7628,0.5227
