English Title,Chinese Title,Overview,英文译名,翻译理由
The Founding of an Army,建军大业,The Founding of an Army is a 2017 Chinese film commissioned by China's government to commemorate the 90th anniversary of the founding of the People's Liberation Army.,*The Birth of the Army*,“建军”强调的是创建军队的历史行动，“大业”则带有庄重、宏伟的意味。用 *The Birth of the Army* 既传达了“创立”的历史节点，又保留了原片名的庄严感，比直译更自然且符合英文语境。
The Taking of Tiger Mountain,智取威虎山,"Yang Zirong disguises himself as a bandit to infiltrate and destroy a bandit group. He joins hands with a hostage, and together, they fight against the warlord, Hawk.",*The Cunning Assault on Tiger Mountain*,“智取”强调智慧与策略，因此用 *Cunning Assault* 体现智谋取胜的意味；“威虎山”既是地名，又象征险恶与威势，保留为 *Tiger Mountain* 能传达中国山林的意象与传奇色彩。整体译名既保留原作的英雄气质，又在英文语境中自然流畅。
The Monkey King 3,西游记·女儿国,"The Monkey King and his friends try to break free from a ruler that takes them hostage. However, their exploits provoke the anger of a deity that decides to punish them for their actions.",*Journey to the West: Kingdom of Women*,“西游记”是中国经典文化符号，保留为 *Journey to the West* 能让英文读者立即识别其文化出处；“女儿国”意指由女性统治的国度，用 *Kingdom of Women* 既自然又传达出神话色彩与异域感。
The Queen,封神：妲己,"The nine-tailed queen of the fox tribe is graceful and beautiful, but unfortunately, she fell into the hands of Yuan Hong, the boss of the seven monkey monsters of Meishan. She was rescued by Jiang Ziya, but Jiang Ziya also cut off one of her tails. The desperate Nine Tails, under the guidance of Empress Nuwa, posessed Daji and became the daughter of Ho Suhu in Jizhou. Before long, King Zhou led an army to attack Jizhou, to thank her father, Da Jihu went into battle by herself, but was captured by King Zhou. The two talked about the way of war by the river. Daji's insights deeply convinced King Zhou and he fell in love with her. That night King Zhou asked Suhu for the permission to marry Daji, and Daji became the empress of the Shang Dynasty, yet, that's when the chaos in the world world began.",*Fengshen: The Enchantress of Chaos*,“封神”是中国古代神话体系的核心概念，保留拼音“Fengshen”能传达其独特文化背景；“妲己”在传说中象征魅惑与祸乱，因此用“The Enchantress of Chaos”既体现她的妖魅特质，又暗示她引发天下动荡的命运。
Beginning of the Great Revival,建党伟业,A chronicle of the events that led to the founding of the Chinese Communist Party.,*The Founding of the Party*,该译名以简洁庄重的语气传达出影片的历史主题与政治意义，既符合英文语境中对重大历史事件影片的命名习惯，又保留了“建党”这一核心概念的庄严感。
King of the New Beggars,武状元苏乞儿之天降神谕,"The last days of the Qing Dynasty. The capital officials are confident that the reign can collapse at any moment. After a series of mysterious deaths of court ministers, the Emperor decides to conduct a sacred ritual of cleansing the heavens. At the same time, he instructs the only miraculously surviving minister Fucha Yuheng to find the killer and punish him. Fucha turns for help to his friend - Crazy So. King of Beggars .",*Heaven’s Decree: The Beggar Champion*,“天降神谕”化为 *Heaven’s Decree*，保留了“天命”“神谕”的庄重与宿命感；“武状元苏乞儿”则凝练为 *The Beggar Champion*，既点出苏乞儿的身份与武功荣耀，又在英文语境中自然顺畅，整体兼具史诗感与民间英雄气质。
Shaolin Temple Death or Consequence,武僧,"Martial arts action film Wu Seng was made in commemoration of the 25th anniversary of Jet Li classic The Shaolin Temple. Set in the 14th century during the early years of the Ming Dynasty, Wu Seng stars Hong Kong action star Terry Fan Siu Wong as Shaolin-trained general Yang Wu. After Yongle usurped the throne from Emperor Jianwen, loyal general Yang Wu secretly rescued child prince Zhu Wenkui and placed him in the care of the Wenchang Temple. Ten years later, Wenkui has grown up to be a strong, young man and Yang Wu is ready to put his plans to overthrow Yongle into action. When the Emperor discovers the plot, however, he sends an army of assassins after Yang Wu and Wenkui. They flee to Dafo Temple where Yang and the temple's monks make their final stand against the emperor's men.",*The Warrior Monk*,“武僧”直译为“martial monk”略显生硬，而 *The Warrior Monk* 在英语语境中更自然，既传达出“习武的僧人”这一核心意象，又保留了中国武僧的文化气质与传奇感。
Detective Dee and the Mystery of the Phantom Flame,狄仁傑之通天帝國,"When the future empress Wu Zetian's two courtiers die in a mysterious fire, she gets Di Renjie, a former detective and rebel, released from prison to solve the mystery of the fire.",*Detective Dee and the Empire of Heaven’s Mandate*,“狄仁傑”以“Detective Dee”呈现，既保留人物特色又便于英语观众识别；“通天帝國”意指与天相通、受天命庇佑的帝国，用“Heaven’s Mandate”呼应中国“天命”观念，既传达帝国的神秘与权威，也体现文化意蕴。
Records of East China Sea,东海异闻录,"In Ruoxi Ho's time, evil forces are rampant on the island of Palm Wild, where tens of thousands of Tian clansmen live. When Lin Yu (Liu Yanchen), a ranger, learns of this, he decides to return to the island to quell the turmoil and save the Tian clan, to whom he owes a debt of gratitude. On the way, Lin Yu meets a mysterious woman named Yu Lu (Shen Yu), whose identity is unknown.",*Legends of the Eastern Sea*,“异闻录”带有“奇异传说、志怪记”的意味，用 *Legends* 既自然又保留史传感；“东海”直译为 *Eastern Sea*，既点出地域，又保留东方神话色彩，整体读起来像一部奇幻冒险史诗。
The Westward: The Kingdom of Shadow,西行纪之暗影魔城,"""The Westward: Shadow City"" tells the story that in order to control Tang Sanzang to seize the eternal fire, Moying, the lord of the Shadow City, used the ability of the magic city to satisfy all desires to lure Tang Sanzang's heart demon. In the end, Tang Sanzang overcame his inner demons and awakened again. He and his apprentices joined forces to defeat Moying, disintegrated the evil city that was the evil side, and embarked on the journey of saving the common people in the world again.",*Chronicles of the Westward Journey: City of Shadowed Demons*,“Chronicles of the Westward Journey”呼应“西行纪”的史诗感与取经背景；“City of Shadowed Demons”既传达“暗影魔城”的阴暗与魔性，又在英文语境中保持神秘与奇幻色彩，符合影片的冒险与心魔主题。
"Crouching Tiger, Hidden Dragon",卧虎藏龍,"Two warriors in pursuit of a stolen sword and a notorious fugitive are led to an impetuous, physically-skilled, teenage nobleman's daughter, who is at a crossroads in her life.","*Hidden Dragons, Veiled Tigers*",我保留了“虎”“龍”象征力量与潜能的意象，但调整语序与修辞，使其在英文中形成一种诗意的对仗感。“Hidden”“Veiled”既传达出“卧”“藏”的含蓄之意，也暗示人物内在的能量与隐秘的情感世界，符合影片的武侠与哲思气质。
The Grandmaster of Kung Fu,霍元甲之精武天下,"A hero of government affairs, protect the world!  At the end of Qing Dynasty. Japan, which is trying to seize Tianjin, where even great powers cannot easily enter, and further devour China, opens the Honghua Military Academy in Tianjin and suppresses the Tianjin Martial Arts Association. Huo Yuan Jia, an expert in the field, engages in a life-threatening battle with Kamesaburo Takeda, a Japanese military commander in order to prevent Japan's ambitions.",*Huo Yuanjia: Spirit of Jingwu*,“精武”不仅指武术技艺，更象征民族精神与尚武之魂，因此用 *Spirit of Jingwu* 既保留了“精武”这一文化符号，又传达出影片弘扬武德与民族气节的内涵。
Summer Palace,颐和园,"Yu Hong leaves her home village and starts university in Beijing, where she develops a consuming and compulsive relationship with another student. The student riots from 1989 then ensue and take a toll on their lives.",*Summer Palace*,“颐和园”是北京著名的皇家园林，象征青春、美好与理想的幻灭。译为 *Summer Palace* 既保留了地名的文化意象，又在英文语境中自然流畅，暗示故事中青春与时代的盛衰。
Dragon,武俠,"A sinful martial arts expert wants to start a new tranquil life, only to be hunted by a determined detective and his former master.",*The Way of the Warrior*,“武俠”不仅指“martial hero”，更蕴含“以武行道”的精神与道义追求。“The Way of the Warrior”既传达出武者的技与道，也保留了东方哲学中“道”的意味，符合影片关于救赎与内心修行的主题。
Guard The Pass of Han,汉时关,"At the end of the Eastern Han Dynasty, Liu Qi, the son of Zhongliang, guarded a crumbling pass in the middle of the desert and declared his place ""refuge"". Various forces gathered here to achieve a strange balance. One day, Geng Zhong, a general of the Han army, arrives and breaks the rules of the refuge, and from then on, Liu Qi is pushed by a series of events to make a series of choices about death, family, friendship, love, family and country.",*The Last Pass of Han*,“关”在此既指边关要塞，也象征守护与命运的关口；“汉时”点出时代背景与文化意象。译名用 *The Last Pass of Han* 既保留了历史厚重感，又传达出末世守关的孤绝氛围。
Fearless,霍元甲,"After going through a series of tragic events in his life, martial arts master Huo Yuanjia returns to Tianjin and must fight four international soldiers, in order to safeguard his nation's pride.",*Spirit of the Warrior*,“霍元甲”是中国武术精神与民族气节的象征。译名以“Warrior”体现其武者身份，用“Spirit”传达他超越个人的民族与精神力量，使片名在英文语境中既有史诗感，又保留中国武侠的内涵。
House of Flying Daggers,十面埋伏,"In 9th century China, a corrupt government wages war against a rebel army called the Flying Daggers. A romantic warrior breaks a beautiful rebel out of prison to help her rejoin her fellows, but things are not what they seem.",*Ambush from Ten Sides*,该片名原本源自中国古代典故，意指四面楚歌、危机四伏。“Ambush from Ten Sides”既保留了“十面埋伏”的诗意与张力，又在英文中自然传达出被重重包围的紧迫感，符合影片的武侠氛围与命运主题。
The Magic Blade,天涯明月刀,"24 years ago, ""God of Sabre"" Yang Changfeng was double-crossed and murdered by someone close to him.",*Blade of the Moonlit Frontier*,“天涯”意含天尽头、江湖远方，译为 *Frontier* 既保留漂泊与边境之意，又自然贴合英文语感；“明月刀”则以 *Blade of the Moonlit* 表达出诗意与武侠气息，整体兼具浪漫与侠义的意境。
Rise of the Legend,黄飞鸿之英雄有梦,"In 1868 during the late Qing Dynasty, rampant corruption on the Imperial Court inflicts much suffering in people's lives. For years, the Black Tiger’s fearsome boss Lei Gong has been trying to get rid of the leader of the Northern Sea. One of his latest recruits is Fei, a fearless fighter who takes the Northern Sea leader’s head after a fierce fight. Just as Lei Gong believes he has total control of the port, a new gang called the Orphans rises in power. Led by Fei’s childhood friend Huo, the Orphans are out to eliminate all the criminal power from the port…",*Rise of the Hero: The Young Wong Fei-hung*,“英雄有梦”强调青年黄飞鸿的理想与成长，我用 *Rise of the Hero* 体现他从江湖少年到民族英雄的觉醒；副标题保留人名以传承文化辨识度，并点出这是他传奇的起点。
Red Cliff,赤壁,"In 208 A.D., in the final days of the Han Dynasty, shrewd Prime Minster Cao convinced the fickle Emperor Han the only way to unite all of China was to declare war on the kingdoms of Xu in the west and East Wu in the south. Thus began a military campaign of unprecedented scale. Left with no other hope for survival, the kingdoms of Xu and East Wu formed an unlikely alliance.",*The Crimson Battleground*,“赤壁”直译为“Red Cliff”，但此处“赤”不仅指颜色，更象征血与烈火的战场气息；“Battleground”比“Cliff”更能传达史诗般的战争规模与悲壮感，同时保留了原名的古典意象与历史厚重感。
Red Cliff II,赤壁：決戰天下,"The battle of Red Cliff continues and the alliance between Xu and East Wu is fracturing.  With Cao Cao's massive forces on their doorstep, will the kingdoms of Xu and East Wu survive?",*Red Cliff: The Final Clash for the Realm*,“決戰天下”意为为天下命运而进行的终极决战，我用 *The Final Clash for the Realm* 来体现这种史诗性与决断感；“Red Cliff”保留历史地名的文化辨识度，使整体既有中国古代战争史诗的气势，又符合英文片名的叙事风格。
The Flowers of War,金陵十三釵,"A Westerner finds refuge with a group of women in a church during Japan's rape of Nanking in 1937. Posing as a priest, he attempts to lead the women to safety.",*The Thirteen Blossoms of Jinling*,“金陵”是南京的古称，保留为 *Jinling* 能传达地域与历史感；“十三钗”原指十三位女子，“钗”象征女性与命运，我以 *Blossoms*（花朵）比喻她们的生命与坚韧，使标题在英文语境中更具诗意与文化意象。
Strange Case in Western Hunan,湘西诡案,"People from Xiangxi have a deep love for their homeland and a tradition of returning to their roots, like fallen leaves. Coupled with the rugged local geography, this gave rise to the profession of ""corpse drivers."" Long Qiyi and his apprentice Long Ping'an are renowned corpse drivers in the local town. Twenty years ago, Long Qiyi encountered the most dreaded situation for a corpse driver - a dead-end path. Twenty years later, with the appearance of a headless corpse, a series of eerie events began to occur in the town, and surprisingly, these events were connected to what Long Qiyi experienced while driving corpses twenty years ago...",*The Phantom Case of Xiangxi*,“诡案”既指离奇的案件，也带有灵异、悬疑的氛围，用 *Phantom* 既保留了神秘诡异的意象，又自然融入英文语境；保留 “Xiangxi” 则传达出地域文化特色与湘西赶尸的独特背景。
Jiang Ziya,姜子牙,"Atop the ruins of war, top commander Jiang Ziya is given the task to banish the Nine-tailed Fox Demon who threatens all mortals' very existence. When he discovers the Nine-tailed Fox's life linked to the soul of an innocent girl, he is faced with a challenging decision: follow the will of heaven or find his own path to righteousness.",*Jiang Ziya: The Fate of Heaven*,保留“姜子牙”这一具有强烈文化象征的专有名，以突出中国神话人物的独特性；副标题“The Fate of Heaven”点出影片核心冲突——天命与人心的抉择，使英文观众能感受到东方哲思的深意。
Journey to the West: Conquering the Demons,西游·降魔篇,"In a world plagued by demons who cause great human suffering, young demon hunter Tang Sanzang must fight against monstrous demons, as well as contend with a beautiful demon hunting woman on his path to enlightenment.",*Journey to the West: The Demon Within*,“西游”承袭中国经典《西游记》的文化意象，用 *Journey to the West* 保留其神话与冒险色彩；“降魔篇”不仅指降伏妖魔，也象征主人公内心的修行与救赎，因此用 *The Demon Within* 既涵盖外在斗魔，也暗示内心的成长与觉悟。
Ip Man: Kung Fu Master,宗师叶问,Ip Man’s promising career as a Policeman is ruined after he is framed for murder and targeted by a mob boss’s daughter.,*Master Ip: The Way of Honor*,“宗师”体现武学与人格的双重修为，用 *Master* 传达其武术地位；副标题 *The Way of Honor* 则呼应影片中叶问在逆境中坚守正义与尊严的精神，既保留东方“道”的意蕴，又让英文语境下的观众易于理解。
The Monkey King: Reborn,西游记之再世妖王,"When the irritable monkey king visits a temple together with his master Tang Monk, he feels offended because of a trifle and thereupon accidentally destroys a magic tree growing on the sacred ground. This brings an ancient demon king back to life, who promptly kidnaps Tang Monk to take revenge for his long imprisonment. The monkey king and his followers have only three days to not only save their master but also to prevent the demon king from regaining his full powers and destroying the world…",*The Monkey King: Reborn Demon*,“西游记”中的核心人物是孙悟空，因此以 *The Monkey King* 为主标题能让西方观众迅速识别题材；“再世妖王”意为“重生的妖王”，译为 *Reborn Demon* 简洁有力，既保留了神话色彩，又符合奇幻冒险片的语气。
The Monkey King,西遊記之大鬧天宮,"Sun Wukong is a monkey born from a heavenly stone who acquires supernatural powers. After rebelling against heaven and being imprisoned under a mountain for 500 years, he later accompanies the monk Xuanzang on a journey to India. Thus, according to legend, Buddhism is brought to ancient China.",*The Monkey King: Uprising in Heaven*,“Uprising”比“Rebellion”更具史诗感，既传达了孙悟空反叛天界的壮阔气势，又保留了中国神话中“天宫”这一超凡背景的文化意象，使标题在英文语境中既自然又富有传奇色彩。
White Snake,白蛇：缘起,"One day a young woman named Blanca is saved by Xuan, a snake catcher from a nearby village. She has lost her memory, and together they go on a journey to discover her real identity, developing deeper feelings for one another along the way. But as they learn more about her past, they uncover a darker plot of supernatural forces vying for power, with the fate of the world hanging in the balance.",*White Serpent: The Beginning of Fate*,“白蛇”化为“White Serpent”以保留中国传说中“白蛇”的神话意象；“缘起”意为因缘的开端，用“The Beginning of Fate”既传达宿命与情缘的意味，又在英文语境中自然流畅，暗示故事的起源与命运的牵引。
Huang Feihong: The Black Yamen,黄飞鸿之黑衙门,"In the late Qing dynasty, foreigners are up to no good and the Qing government is weakening day by day. Under the cover of Eunuch Cao, the Guangzhou government colludes with gangs and foreigners, betrays the country to seek glory, and makes dirty money. When the humanitarian Huang Feihong learns about this, he petitions for the people and makes a scene at the government office. After a desperate struggle, he finally expels the foreign forces and eliminates the gangsters, punishing evil and promoting good, and protecting the family and the country!.",*Wong Fei-hung and the Dark Yamen*,“Yamen”保留了中国古代官府的文化意象，而“Dark”既指“黑暗”“腐败”，又带有悬疑与正邪对立的气氛；整体既传达出片中揭露官场黑幕的主题，又保持了武侠片的传统韵味。
Immortal Demon Slayer,悟空傳,"A giant rebelled against the heavens. It was declared a devil and defeated. The immortal heart evolved into Sun Wukong. The heavens found him, and ravaged his home. He enters the heavenly kingdom, disguised as a human, seeking retribution.",*The Legend of Wukong*,“傳”在中文中既可指“传说”也可指“传记”，带有史诗与神话色彩；“悟空”是中国文化中极具象征意义的反叛与觉悟的化身。译为 *The Legend of Wukong* 既保留了神话叙事的气质，又在英文语境中自然流畅，能让观众感受到史诗般的英雄传奇感。
True Legend,苏乞儿,"Su Qi-Er, a wealthy man living during the Qing Dynasty who loses his fortune and reputation as a result of a conspiracy against him. After being forced out onto the streets, Su dedicates his life to martial arts and reemerges as a patriotic hero known as the ""King of Beggars.""",*The Beggar King*,该译名保留了“乞儿”所代表的身份与尊严的反转，同时以简洁有力的表达突出了主人公从落魄到崛起的传奇气质，符合英文语境中英雄式人物片名的习惯。
Monkey King: Hero Is Back,西游记之大圣归来,"The all-powerful Monkey King once roamed freely between Heaven and Earth, but after angering the Gods, he was imprisoned within an ice cage deep within the mountains. 500 years later, monsters attack a small village and a child flees to the mountains. Unknowingly, the child releases the Monkey King from his curse. With the help and encouragement from this special child, Monkey King saves the village from the evil monsters.",*The Monkey King: Hero Is Back*,“西游记”是中国文化中家喻户晓的经典神话，“大圣”指孙悟空这一英雄形象。“Hero Is Back”既传达了“大圣归来”的气势与情感，也以简洁自然的英语表达出英雄重现的主题，符合西方观众的语感与叙事习惯。
"The Pig, the Snake and the Pigeon",周處除三害,"The arrogant, third most-wanted criminal in Taiwan, decides to get rid of the top two competitors and crowns himself the most-wanted criminal before dying.",*The Last of the Three Evils*,“周处除三害”源自中国古典典故，意指“除去三种祸害”，其中“周处”既是人名又暗含“自我净化”的寓意。译名用 *The Last of the Three Evils* 既保留了“三害”的文化象征，又暗示主人公最终成为并清除最后的“恶”，在英文语境中自然且富有寓意。
The Great Dream of Liaozhai,大梦聊斋,"The film is adapted from the story of the second volume of ""Strange Tales from a Lonely Studio"" and ""Ying Ning"", which presents a stylish expression of the classic ghost legend. It tells the story of the demon-busting magician Prince Hsu (Huang Youtian) and Tang Wen (Li Xinze) who are entrusted with the task of creating a ""Demon Suppressing Divine Weapon"". In the process of tracking down the whereabouts of Gan Tie hammer, Prince Fu and Tang Wen discover Ying Ning's secret and start a fantasy love affair.......",*Dreamscape of Liaozhai*,“Liaozhai”保留了《聊斋志异》的文化标识，直接唤起中国古典志怪文学的意象；“Dreamscape”既传达“大梦”的虚幻与奇境之感，又带出浪漫与幻想的氛围，符合影片的奇幻爱情主题。
The Yin-Yang Master: Dream of Eternity,晴雅集,"Every few hundred years, the most powerful demon on earth—a snake demon—awakens, and the Yin-Yang Masters are summoned to the capital. Meanwhile, the Princess of the realm has her own plans, as she conspires to claim the demon’s power.",*The Gathering of Qing and Ya*,“晴雅”是主角姓名，亦带有“明净与高雅”之意；“集”既指人物的汇聚，也暗示命运与力量的交会。译名保留人名音韵，同时以 *Gathering* 传达故事中阴阳师齐聚、风云汇合的意象。
Black Dog,狗阵,"On the edge of the Gobi desert in Northwest China, Lang returns to his hometown after being released from jail. While working for the local dog patrol team to clear the town of stray dogs before the Olympic Games, he strikes up an unlikely connection with a black dog. These two lonely souls embark on a journey together.",*The Pack*,“狗阵”原意既指一群狗，也隐喻社会边缘者的聚集与生存状态。译为 *The Pack* 既保留了“群体”“野性”的意象，又在英文语境中自然简洁，能传达影片关于孤独与归属的主题。
GATAO: Big Brothers,角頭－鬥陣欸,"Michael and his right-hand man Scorpion, who find themselves embroiled in their father Ko's turf war against rival gangs in Taipei, setting off a conflict between old and new generations of gangsters. The film is the latest installment in the Gatao franchise, following the narrative of a young successor trying to expand his power while navigating the volatile underworld.",*Gatao: Brothers in Blood*,“角頭”在台湾黑帮语境中指地盘头目，我保留其音译“Gatao”以体现地域与文化特色；“鬥陣欸”带有兄弟并肩作战、义气相挺的意味，因此译为“Brothers in Blood”，既传达兄弟情义与黑帮暴力的双重意象，又符合英文片名的叙事张力与语感。
Hero,英雄,"During China's Warring States period, a district prefect arrives at the palace of Qin Shi Huang, claiming to have killed the three assassins who had made an attempt on the king's life three years ago.",*The Way of the Hero*,“英雄”在中文语境中不仅指个人的勇武，更蕴含对理想、牺牲与天下大义的思考。译为 *The Way of the Hero* 既保留了“英雄”这一核心意象，又体现出影片对“何为英雄”的哲理探讨，使标题在英文语境中更具深度与文化韵味。
周处除三嗨,周处除三嗨,,,
Dongji Rescue,东极岛,"During WWII, in the waters near Zhoushan, China, a Japanese freighter carrying British POWs was sunk, leaving thousands trapped inside by the Japanese military. In this desperate situation, a group of fishermen from Dongji Island step forward without hesitation. Driven by their innate kindness, courage, and unyielding spirit, they brave the stormy seas to open a path of survival for the stranded prisoners.",*The Eastern Edge*,“东极”意为“最东之地”，既指地理上的极东岛屿，也象征勇气与希望的边界。“The Eastern Edge”既保留了地理方位感，又传达出在极限处展现人性光辉的意象，简洁而富有力量。
A Tale of Three Cities,三城记,"A former spy in the Chinese Nationalist Party falls for an opium-dealing widow, as China is ravaged by war and revolution.",*Tale of Three Cities*,此译名借鉴西方熟悉的表达方式（如 *A Tale of Two Cities*），既保留了原片名中“三城”的结构与史诗感，又暗示了动荡时代下的爱情与命运交织，符合影片的历史与情感氛围。
Wushu,武术之少年行,A group of Wushu students stumble into a child kidnapping ring run by an alumnus.,*The Young Path of Wushu*,“少年行”既有“少年出行、成长之路”的意味，也带有青春历练的色彩；用 *The Young Path* 既保留了这种成长意象，又与“武术”自然衔接，整体语气简洁而富有东方韵味。
Still Life,三峡好人,"A town in Fengjie county is gradually being demolished and flooded to make way for the Three Gorges Dam. A man and woman visit the town to locate their estranged spouses, and become witness to the societal changes.",*Still Life at the Three Gorges*,“Still Life”既呼应影片中对普通人生活的静观与留白，也暗示被淹没前的城镇如同一幅凝固的画面；加上“三峡”点明地理与时代背景，整体语气沉静而富象征意味。
The Chinese Widow,烽火芳菲,"It’s 1941 and the Japanese attack on Pearl Harbor has destroyed America’s morale. The US President Franklin D. Roosevelt then decides to risk it all by bombing Tokyo and raise more hope for his citizens. After completing its mission, a unit of the US Air Force is forced to make an emergency landing in China. Its commander Jack Turner (Emilie Hirsch) barely survives but gets rescued by Ying (Crystal Liu), a local widow who will stop at nothing to hide him from the Japanese occupant.",*Blossoms Amid the Flames*,“烽火”象征战乱，“芳菲”寓意生命与美好；译名以“Blossoms Amid the Flames”传达出战争背景下人性与爱情的坚韧与温柔，既保留了诗意，又符合英文语境的表达习惯。
New Gods: Nezha Reborn,新神榜：哪吒重生,"While living as an ordinary deliveryman and motor racing fan, Nezha encounters old nemeses and must rediscover his powers to protect his loved ones.",*New Gods: Rebirth of Nezha*,“New Gods”传达出“新神榜”所体现的神话体系重塑感；“Rebirth of Nezha”既呼应“重生”的主题，又保留了哪吒这一中国神话人物的核心文化意象，使整体标题在英文语境中自然且富有史诗感。
