English Title,Chinese Title,Overview,英文译名,翻译理由
The Founding of an Army,建军大业,The Founding of an Army is a 2017 Chinese film commissioned by China's government to commemorate the 90th anniversary of the founding of the People's Liberation Army.,The Monumental Genesis of the Force,“Monumental”旨在传达原片名中“大业”所蕴含的宏大历史意义与不朽功绩。“Genesis of the Force”则用于取代直译的“建军”，强调这是中国人民解放军诞生（起源）这一具有开创性的历史时刻。
The Taking of Tiger Mountain,智取威虎山,"Yang Zirong disguises himself as a bandit to infiltrate and destroy a bandit group. He joins hands with a hostage, and together, they fight against the warlord, Hawk.",The Strategic Seizure of Tiger Mountain,此译名侧重于原片名中的“智”与“取”，使用“Strategic Seizure”强调了主角通过计谋而非强攻夺取要地的核心情节。将“威虎山”处理为“Tiger Mountain”，保留了地点名称，突显了这座山作为土匪军事堡垒的威慑性与重要性。
The Monkey King 3,西游记·女儿国,"The Monkey King and his friends try to break free from a ruler that takes them hostage. However, their exploits provoke the anger of a deity that decides to punish them for their actions.",The Monkey King: Realm of the Matriarchs,该译名采用“The Monkey King”来迅速定位源自《西游记》的系列电影，更符合西方商业片的命名习惯。 “Realm of the Matriarchs”将字面的“女儿国”升华为一个由女性统治者掌权的神话国度，强调了其政治独立性与对取经团的潜在威胁。
The Queen,封神：妲己,"The nine-tailed queen of the fox tribe is graceful and beautiful, but unfortunately, she fell into the hands of Yuan Hong, the boss of the seven monkey monsters of Meishan. She was rescued by Jiang Ziya, but Jiang Ziya also cut off one of her tails. The desperate Nine Tails, under the guidance of Empress Nuwa, posessed Daji and became the daughter of Ho Suhu in Jizhou. Before long, King Zhou led an army to attack Jizhou, to thank her father, Da Jihu went into battle by herself, but was captured by King Zhou. The two talked about the way of war by the river. Daji's insights deeply convinced King Zhou and he fell in love with her. That night King Zhou asked Suhu for the permission to marry Daji, and Daji became the empress of the Shang Dynasty, yet, that's when the chaos in the world world began.",**The Celestial Uprising: Daji,“The Celestial Uprising” 用以替代“封神”，强调了这场涉及神灵、导致王朝覆灭的宏大战争与混乱起源，更符合西方史诗电影的命名习惯。“Daji”作为副标题，直接点明了这位狐妖皇后是引发这场神人混战的最终核心人物。
Beginning of the Great Revival,建党伟业,A chronicle of the events that led to the founding of the Chinese Communist Party.,The Genesis of the Grand Revival,我选用“Genesis”来强调建党这一具有开创性的历史起点，避免使用普通的“Founding”。“The Grand Revival”则旨在捕捉“伟业”所蕴含的宏大历史使命感和官方叙事中对国家复兴的期望，使译名更具史诗般的重量。
King of the New Beggars,武状元苏乞儿之天降神谕,"The last days of the Qing Dynasty. The capital officials are confident that the reign can collapse at any moment. After a series of mysterious deaths of court ministers, the Emperor decides to conduct a sacred ritual of cleansing the heavens. At the same time, he instructs the only miraculously surviving minister Fucha Yuheng to find the killer and punish him. Fucha turns for help to his friend - Crazy So. King of Beggars .","So Chan, The Beggar King: Revelation of the Celestial Mandate",我将“武状元苏乞儿”的核心身份提炼为“The Beggar King”（乞儿之王），这是他在武侠世界中最广为人知的称号，并用“So Chan”指代人物。副标题“Revelation of the Celestial Mandate”则有力地概括了“天降神谕”在晚清背景下，所蕴含的政治崩塌与天命转移的文化意涵。
Shaolin Temple Death or Consequence,武僧,"Martial arts action film Wu Seng was made in commemoration of the 25th anniversary of Jet Li classic The Shaolin Temple. Set in the 14th century during the early years of the Ming Dynasty, Wu Seng stars Hong Kong action star Terry Fan Siu Wong as Shaolin-trained general Yang Wu. After Yongle usurped the throne from Emperor Jianwen, loyal general Yang Wu secretly rescued child prince Zhu Wenkui and placed him in the care of the Wenchang Temple. Ten years later, Wenkui has grown up to be a strong, young man and Yang Wu is ready to put his plans to overthrow Yongle into action. When the Emperor discovers the plot, however, he sends an army of assassins after Yang Wu and Wenkui. They flee to Dafo Temple where Yang and the temple's monks make their final stand against the emperor's men.",The Warrior Ascetic,“Warrior”直接对应“武”，突显影片的动作元素；“Ascetic”则比单纯的“Monk”更能体现“僧”的苦行和修行特质，从而保留了原片名中蕴含的东方精神与文化深度。此译名突出了主角身份的对立统一性，更具史诗感和吸引力。
Detective Dee and the Mystery of the Phantom Flame,狄仁傑之通天帝國,"When the future empress Wu Zetian's two courtiers die in a mysterious fire, she gets Di Renjie, a former detective and rebel, released from prison to solve the mystery of the fire.",Detective Dee and the Empire of Ascension,“Ascension”一词精准地捕捉了“通天”所蕴含的文化野心，既暗示了剧情的宏大（直达天听的阴谋或建筑），也呼应了武则天企图登基、达到权力顶峰的态势。“Detective Dee”则保留了主角的身份并增加了英文片名的流畅度。
Records of East China Sea,东海异闻录,"In Ruoxi Ho's time, evil forces are rampant on the island of Palm Wild, where tens of thousands of Tian clansmen live. When Lin Yu (Liu Yanchen), a ranger, learns of this, he decides to return to the island to quell the turmoil and save the Tian clan, to whom he owes a debt of gratitude. On the way, Lin Yu meets a mysterious woman named Yu Lu (Shen Yu), whose identity is unknown.",Chronicles of the Eastern Seaboard,“Chronicles”取代了“录”和“异闻”，暗示这是一部记录了神秘而奇特事件的历史卷宗；“Eastern Seaboard”则保留了“东海”的地理方位和文化根基，使其成为一部富有史诗感的东方奇幻片名。
The Westward: The Kingdom of Shadow,西行纪之暗影魔城,"""The Westward: Shadow City"" tells the story that in order to control Tang Sanzang to seize the eternal fire, Moying, the lord of the Shadow City, used the ability of the magic city to satisfy all desires to lure Tang Sanzang's heart demon. In the end, Tang Sanzang overcame his inner demons and awakened again. He and his apprentices joined forces to defeat Moying, disintegrated the evil city that was the evil side, and embarked on the journey of saving the common people in the world again.",,“The Westward”简洁地指代了“西行纪”这一故事背景，而“Shadow Citadel”用“Citadel”（堡垒/要塞）取代直译的“Demon City”，强调了“魔城”作为黑暗势力核心的强大与险恶，使译名更具电影感和史诗气质。
"Crouching Tiger, Hidden Dragon",卧虎藏龍,"Two warriors in pursuit of a stolen sword and a notorious fugitive are led to an impetuous, physically-skilled, teenage nobleman's daughter, who is at a crossroads in her life.",,该译名使用“Veiled”（蒙蔽的，隐藏的）和“Waiting”（等待爆发的）来取代直译的动词，更侧重于影片中“隐匿的武术高手”和“即将爆发的潜能”这一核心主题。它保留了中国文化中龙虎的象征意义，使译名既具备武侠的史诗感，又自然流畅。
The Grandmaster of Kung Fu,霍元甲之精武天下,"A hero of government affairs, protect the world!  At the end of Qing Dynasty. Japan, which is trying to seize Tianjin, where even great powers cannot easily enter, and further devour China, opens the Honghua Military Academy in Tianjin and suppresses the Tianjin Martial Arts Association. Huo Yuan Jia, an expert in the field, engages in a life-threatening battle with Kamesaburo Takeda, a Japanese military commander in order to prevent Japan's ambitions.",Huo Yuanjia: Realm of the Elite Fist,此译名保留了主角的身份，并使用“Elite Fist”来传达“精武”所蕴含的顶尖技艺与民族精神。“Realm”有效地转化了宏大的“天下”概念，将这场武术较量升华为一场关乎国家主权与命运的领域之争。
Summer Palace,颐和园,"Yu Hong leaves her home village and starts university in Beijing, where she develops a consuming and compulsive relationship with another student. The student riots from 1989 then ensue and take a toll on their lives.",,
Dragon,武俠,"A sinful martial arts expert wants to start a new tranquil life, only to be hunted by a determined detective and his former master.",,此译名将原片名中的“武俠”這一宏大的類型概念，轉化為聚焦於主角個人內心衝突的敘事標題。它體現了主角渴望獲得平靜（Silence）的生活，卻被其隱藏的暴力與過去（Sword）不斷追逐和清算的雙重主題。
Guard The Pass of Han,汉时关,"At the end of the Eastern Han Dynasty, Liu Qi, the son of Zhongliang, guarded a crumbling pass in the middle of the desert and declared his place ""refuge"". Various forces gathered here to achieve a strange balance. One day, Geng Zhong, a general of the Han army, arrives and breaks the rules of the refuge, and from then on, Liu Qi is pushed by a series of events to make a series of choices about death, family, friendship, love, family and country.",,“Watchtower”代替直译的“Pass”，更贴切地表现了原片名中“关”作为边陲孤立、衰败的军事哨所的意象。翻译强调“Han Era”（汉时），明确了故事所处的历史背景，突显了这座关隘在王朝更迭中的历史见证者地位。
Fearless,霍元甲,"After going through a series of tragic events in his life, martial arts master Huo Yuanjia returns to Tianjin and must fight four international soldiers, in order to safeguard his nation's pride.",,
House of Flying Daggers,十面埋伏,"In 9th century China, a corrupt government wages war against a rebel army called the Flying Daggers. A romantic warrior breaks a beautiful rebel out of prison to help her rejoin her fellows, but things are not what they seem.",(或者：The Unseen Perimeter),此译名侧重于原片名“十面”所代表的四面楚歌与“埋伏”的战略陷阱，突出了人物面对的复杂命运和无法逃脱的计谋，符合影片中高密度的欺骗与致命包围的主题。它避免了数字直译，同时传达了原片名中战略压迫感的文化意涵。
The Magic Blade,天涯明月刀,"24 years ago, ""God of Sabre"" Yang Changfeng was double-crossed and murdered by someone close to him.",The Luminous Saber of the Horizon,此译名将“天涯”转化为体现史诗感的“Horizon”（天际/远方），而将“明月刀”精炼为“Luminous Saber”，突出刀锋在月光下的清冷与使命感。整体结构自然流畅，既保留了原片名中孤寂、宏大的武侠意境，又暗示了复仇的清明与距离。
Rise of the Legend,黄飞鸿之英雄有梦,"In 1868 during the late Qing Dynasty, rampant corruption on the Imperial Court inflicts much suffering in people's lives. For years, the Black Tiger’s fearsome boss Lei Gong has been trying to get rid of the leader of the Northern Sea. One of his latest recruits is Fei, a fearless fighter who takes the Northern Sea leader’s head after a fierce fight. Just as Lei Gong believes he has total control of the port, a new gang called the Orphans rises in power. Led by Fei’s childhood friend Huo, the Orphans are out to eliminate all the criminal power from the port…",Wong Fei-hung: A Destiny Forged in Dream,保留标志性的粤语拼音“Wong Fei-hung”是为了维持核心人物的文化识别度。副标题“A Destiny Forged in Dream”将“英雄有梦”提升为一种宏大的叙事主题，暗示了年轻黄飞鸿在混乱时代中，通过奋斗与野心成就英雄命运的过程。
Red Cliff,赤壁,"In 208 A.D., in the final days of the Han Dynasty, shrewd Prime Minster Cao convinced the fickle Emperor Han the only way to unite all of China was to declare war on the kingdoms of Xu in the west and East Wu in the south. Thus began a military campaign of unprecedented scale. Left with no other hope for survival, the kingdoms of Xu and East Wu formed an unlikely alliance.",The Crimson Crucible,“Crimson”保留了“赤”的色彩意象，暗示了战火与鲜血；而“Crucible”（熔炉）象征着极度严酷的考验和决定性的历史转折点，恰当地体现了赤壁之战的战略重要性。
Red Cliff II,赤壁：決戰天下,"The battle of Red Cliff continues and the alliance between Xu and East Wu is fracturing.  With Cao Cao's massive forces on their doorstep, will the kingdoms of Xu and East Wu survive?",Red Cliff: Reckoning of the Empire,“Reckoning” 准确地捕捉了“決戰”的终局和决定性意味，强调这是决定存亡的最后清算；而 “Empire” 则简洁有力地传达了“天下”所蕴含的统治整个中华大地的宏大文化意涵。
The Flowers of War,金陵十三釵,"A Westerner finds refuge with a group of women in a church during Japan's rape of Nanking in 1937. Posing as a priest, he attempts to lead the women to safety.",The Thirteen Jewels of Nanking,“Nanking”（南京）直接指代历史背景地“金陵”，增强了译名的历史厚重感。“Jewels”（珠宝）作为“钗”（古代女性装饰品）的意译，既保留了原片名所蕴含的古典美与女性特质，又暗示了这些女性在乱世中的稀有与价值。
Strange Case in Western Hunan,湘西诡案,"People from Xiangxi have a deep love for their homeland and a tradition of returning to their roots, like fallen leaves. Coupled with the rugged local geography, this gave rise to the profession of ""corpse drivers."" Long Qiyi and his apprentice Long Ping'an are renowned corpse drivers in the local town. Twenty years ago, Long Qiyi encountered the most dreaded situation for a corpse driver - a dead-end path. Twenty years later, with the appearance of a headless corpse, a series of eerie events began to occur in the town, and surprisingly, these events were connected to what Long Qiyi experienced while driving corpses twenty years ago...",The Corpse Walker's Uncanny Trail,“Corpse Walker”是对于湘西“赶尸”文化（Corpse Driver）的更具悬疑色彩的译法，立即点明了故事的文化核心。 “Uncanny Trail”则同时概括了案件的诡异性质（诡案）和尸体搬运者穿越的险峻地理路径。
Jiang Ziya,姜子牙,"Atop the ruins of war, top commander Jiang Ziya is given the task to banish the Nine-tailed Fox Demon who threatens all mortals' very existence. When he discovers the Nine-tailed Fox's life linked to the soul of an innocent girl, he is faced with a challenging decision: follow the will of heaven or find his own path to righteousness.",Jiang Ziya: The Path to Righteousness,该译名保留了“姜子牙”这一关键的文化与神话人物名，以确保核心识别度；同时，副标题着重强调了他面临的选择——拒绝天命，寻求个人良知所指引的真正道义（righteousness）。这突出了原片概述中“find his own path to righteousness”这一核心主题。
Journey to the West: Conquering the Demons,西游·降魔篇,"In a world plagued by demons who cause great human suffering, young demon hunter Tang Sanzang must fight against monstrous demons, as well as contend with a beautiful demon hunting woman on his path to enlightenment.",The Western Odyssey: Subjugation of the Fiends,“Western Odyssey”将“西游”转化为英文语境中广为人知且具史诗感的长篇探险，突显了原著的文化重量。“Subjugation of the Fiends”则以庄重、有力的语调对应“降魔篇”，强调了主角面对强大妖魔的残酷战斗。
Ip Man: Kung Fu Master,宗师叶问,Ip Man’s promising career as a Policeman is ruined after he is framed for murder and targeted by a mob boss’s daughter.,The Making of a Patriarch: Ip Man,“Patriarch”比单纯的“Grandmaster”更能体现“宗师”所蕴含的开宗立派、承袭武学道统的文化意涵。“The Making of”则暗示了主角在早年警察生涯中经历磨难与考验，最终成就一代宗师的奋斗历程。
The Monkey King: Reborn,西游记之再世妖王,"When the irritable monkey king visits a temple together with his master Tang Monk, he feels offended because of a trifle and thereupon accidentally destroys a magic tree growing on the sacred ground. This brings an ancient demon king back to life, who promptly kidnaps Tang Monk to take revenge for his long imprisonment. The monkey king and his followers have only three days to not only save their master but also to prevent the demon king from regaining his full powers and destroying the world…",The Monkey King: Rise of the Primordial Fiend,此译名将原著IP聚焦于更具全球辨识度的角色名称“The Monkey King”，同时将“再世妖王”转化为“Rise of the Primordial Fiend”。这强调了情节中恶魔是古老且被重新唤醒的强大存在（Primordial/Rise），使其在西方奇幻语境中更具史诗感和动作片张力。
The Monkey King,西遊記之大鬧天宮,"Sun Wukong is a monkey born from a heavenly stone who acquires supernatural powers. After rebelling against heaven and being imprisoned under a mountain for 500 years, he later accompanies the monk Xuanzang on a journey to India. Thus, according to legend, Buddhism is brought to ancient China.",The Legends of the Journey: Uprising in the Celestial Palace,此译名使用“The Legends of the Journey”来指代《西遊記》这一宏大叙事，避免了常见的直译。同时，“Uprising in the Celestial Palace”精准地传达了“大鬧天宮”所蕴含的孙悟空对神界进行的史诗级、具有叛逆色彩的捣乱与挑战。
White Snake,白蛇：缘起,"One day a young woman named Blanca is saved by Xuan, a snake catcher from a nearby village. She has lost her memory, and together they go on a journey to discover her real identity, developing deeper feelings for one another along the way. But as they learn more about her past, they uncover a darker plot of supernatural forces vying for power, with the fate of the world hanging in the balance.",White Snake: Dawn of Destiny,“White Snake”直接点明了故事主角和传说基础。“Dawn of Destiny”则将“缘起”翻译为“命运的黎明”，既突出了这是这段传奇姻缘的起源（Dawn），又诗意地转化了“缘”所蕴含的宿命与牵引的文化意涵（Destiny）。
Huang Feihong: The Black Yamen,黄飞鸿之黑衙门,"In the late Qing dynasty, foreigners are up to no good and the Qing government is weakening day by day. Under the cover of Eunuch Cao, the Guangzhou government colludes with gangs and foreigners, betrays the country to seek glory, and makes dirty money. When the humanitarian Huang Feihong learns about this, he petitions for the people and makes a scene at the government office. After a desperate struggle, he finally expels the foreign forces and eliminates the gangsters, punishing evil and promoting good, and protecting the family and the country!.",Wong Fei-hung: The Black Tribunal,保留了主角“Wong Fei-hung”（黄飞鸿）的标准译名以确保文化辨识度。“黑衙门”被译为“The Black Tribunal”，用“Black”保持了原词中黑暗与邪恶的语气，并用“Tribunal”取代生僻的“Yamen”，代指被腐败操控的官方权力机构，使其在英文语境中流畅且富有戏剧张力。
Immortal Demon Slayer,悟空傳,"A giant rebelled against the heavens. It was declared a devil and defeated. The immortal heart evolved into Sun Wukong. The heavens found him, and ravaged his home. He enters the heavenly kingdom, disguised as a human, seeking retribution.",The Wukong Chronicle,"""Chronicle""（纪事/传记）精准地捕捉了原名“传”的史诗性和权威性，暗示这是一个关于神话人物起源和命运的严肃而基础的故事。此译名突出了主角的标志性名称，同时赋予了译名宏大且具有历史感的基调。"
True Legend,苏乞儿,"Su Qi-Er, a wealthy man living during the Qing Dynasty who loses his fortune and reputation as a result of a conspiracy against him. After being forced out onto the streets, Su dedicates his life to martial arts and reemerges as a patriotic hero known as the ""King of Beggars.""",Su Qi-Er: The Beggar King,本译名保留了主角的中文姓名（Su Qi-Er），以保持文化特定性；同时将“乞儿”转化为更具威严和英雄色彩的“Beggar King”，强调了他从贵族到流浪者，最终成为武术宗师的传奇蜕变，使其更符合英语语境中的史诗片名风格。
Monkey King: Hero Is Back,西游记之大圣归来,"The all-powerful Monkey King once roamed freely between Heaven and Earth, but after angering the Gods, he was imprisoned within an ice cage deep within the mountains. 500 years later, monsters attack a small village and a child flees to the mountains. Unknowingly, the child releases the Monkey King from his curse. With the help and encouragement from this special child, Monkey King saves the village from the evil monsters.",,
"The Pig, the Snake and the Pigeon",周處除三害,"The arrogant, third most-wanted criminal in Taiwan, decides to get rid of the top two competitors and crowns himself the most-wanted criminal before dying.",The Trilogy of Vices Purged,该译名采用“The Trilogy of Vices”来概括原片名中的“三害”，既保留了数字三，又提升了词语的道德和文学感，更贴合电影的警匪片调性。使用“Purged”而非简单的“Eliminated”或“Killed”，是为了强调主角行动的终结性与宿命感，呼应了“除”所蕴含的自我救赎与清算的主题。
The Great Dream of Liaozhai,大梦聊斋,"The film is adapted from the story of the second volume of ""Strange Tales from a Lonely Studio"" and ""Ying Ning"", which presents a stylish expression of the classic ghost legend. It tells the story of the demon-busting magician Prince Hsu (Huang Youtian) and Tang Wen (Li Xinze) who are entrusted with the task of creating a ""Demon Suppressing Divine Weapon"". In the process of tracking down the whereabouts of Gan Tie hammer, Prince Fu and Tang Wen discover Ying Ning's secret and start a fantasy love affair.......",The Dreamscape of Phantom Tales,此译名将“大梦”转化为“Dreamscape”，强调故事宏大且虚幻的奇幻世界；“Phantom Tales”则取代“聊斋”，明确指代电影改编自经典的中国鬼怪精怪传说，使译名更具商业吸引力。
The Yin-Yang Master: Dream of Eternity,晴雅集,"Every few hundred years, the most powerful demon on earth—a snake demon—awakens, and the Yin-Yang Masters are summoned to the capital. Meanwhile, the Princess of the realm has her own plans, as she conspires to claim the demon’s power.",,“Conclave”强调了阴阳师们为应对重大危机而进行的正式、秘密的集会（集），契合电影的史诗背景。“Refined Spirits”则保留了原片名中“晴雅”所蕴含的清明、高雅和灵性的文化意涵，赋予译名一种古典的神秘感。
Black Dog,狗阵,"On the edge of the Gobi desert in Northwest China, Lang returns to his hometown after being released from jail. While working for the local dog patrol team to clear the town of stray dogs before the Olympic Games, he strikes up an unlikely connection with a black dog. These two lonely souls embark on a journey together.",,
GATAO: Big Brothers,角頭－鬥陣欸,"Michael and his right-hand man Scorpion, who find themselves embroiled in their father Ko's turf war against rival gangs in Taipei, setting off a conflict between old and new generations of gangsters. The film is the latest installment in the Gatao franchise, following the narrative of a young successor trying to expand his power while navigating the volatile underworld.",The Gatao Syndicate: Call to Arms,此译名使用“Gatao Syndicate”来准确传达“角頭”所代表的台湾本土帮派组织的文化意涵，而非笼统的黑帮。副标题“Call to Arms”则有力地转化了“鬥陣欸”中那种充满紧迫感、集结开战的街头冲突与世代对决的氛围。
Hero,英雄,"During China's Warring States period, a district prefect arrives at the palace of Qin Shi Huang, claiming to have killed the three assassins who had made an attempt on the king's life three years ago.",The Paragon,该译名将原片名“英雄”的简单概念提升为一种理想典范或完美的标准，更贴合电影的史诗级格局和对“真正英雄主义”的哲学探讨。它既保留了原片名强调个体角色的力度，也使英文表达更为文学化和引人深思。
周处除三嗨,周处除三嗨,,,
Dongji Rescue,东极岛,"During WWII, in the waters near Zhoushan, China, a Japanese freighter carrying British POWs was sunk, leaving thousands trapped inside by the Japanese military. In this desperate situation, a group of fishermen from Dongji Island step forward without hesitation. Driven by their innate kindness, courage, and unyielding spirit, they brave the stormy seas to open a path of survival for the stranded prisoners.",The Eastern Isle Lifeline,此译名保留了“东极”的地理指向（Eastern Isle），同时用“Lifeline”（生命线）取代了笼统的“岛”字，强调了原片名中蕴含的希望与拯救的主题。它突出了当地渔民在惊涛骇浪中为战俘们打开生存之路的核心英雄行动，使得片名更具故事性和戏剧张力。
A Tale of Three Cities,三城记,"A former spy in the Chinese Nationalist Party falls for an opium-dealing widow, as China is ravaged by war and revolution.",The Three-City Tale,“Tale”比“Chronicle”或“Story”更具叙事性和浪漫色彩，更好地对应原片名中的“记”。“Three-City”采用形容词形式，简洁且保留了片名核心的结构与地理跨度，避免了直译的生硬感。
Wushu,武术之少年行,A group of Wushu students stumble into a child kidnapping ring run by an alumnus.,Wushu: The Apprentices' Gauntlet,“Apprentices”取代了直译的“youth”或“students”，强调这群少年正在接受武术的训练与磨砺，更具文化感；“Gauntlet”（严酷的考验）则准确地捕捉了原片名中“行”所蕴含的，关于他们卷入绑架案后所经历的致命考验与成人礼般的行动。
Still Life,三峡好人,"A town in Fengjie county is gradually being demolished and flooded to make way for the Three Gorges Dam. A man and woman visit the town to locate their estranged spouses, and become witness to the societal changes.",The Decent Folk of the Three Gorges,此译名保留了作为叙事背景核心的“三峡”地理标识，并将“好人”译为“Decent Folk”（正直善良的人们），以此强调在宏大社会变革中，普通民众坚守人性和尊严的主题。该译法避免了直译的生硬感，更自然地传递了电影所关注的边缘群体视角。
The Chinese Widow,烽火芳菲,"It’s 1941 and the Japanese attack on Pearl Harbor has destroyed America’s morale. The US President Franklin D. Roosevelt then decides to risk it all by bombing Tokyo and raise more hope for his citizens. After completing its mission, a unit of the US Air Force is forced to make an emergency landing in China. Its commander Jack Turner (Emilie Hirsch) barely survives but gets rescued by Ying (Crystal Liu), a local widow who will stop at nothing to hide him from the Japanese occupant.",The Smoke and the Silk,该译名以“Smoke”象征战火硝烟（烽火），以“Silk”指代温婉的中国文化元素与女性的柔美（芳菲）。它在体现战争与柔美并存的主题时，避开了直译，并注入了更具意境的东方文化韵味。
New Gods: Nezha Reborn,新神榜：哪吒重生,"While living as an ordinary deliveryman and motor racing fan, Nezha encounters old nemeses and must rediscover his powers to protect his loved ones.",,“Nezha Reborn”精准地传达了“哪吒重生”的主题，即主角在现代背景下的转世与觉醒。“Chronicle of the New Gods”将“新神榜”解读为一个系列史诗的记录或叙事（Chronicle），避免了直译“List”的生硬感，同时确立了该片在一个重塑神话体系（New Gods）中的史诗地位。
