English Title,Chinese Title,Overview,Extracted_English_Title,Translation_Reason
King of the New Beggars,武状元苏乞儿之天降神谕,"The last days of the Qing Dynasty. The capital officials are confident that the reign can collapse at any moment. After a series of mysterious deaths of court ministers, the Emperor decides to conduct a sacred ritual of cleansing the heavens. At the same time, he instructs the only miraculously surviving minister Fucha Yuheng to find the killer and punish him. Fucha turns for help to his friend - Crazy So. King of Beggars .",The Heavenly Mandate of the Last Emperor,"我选择了这个译名是因为它保留了原片名中的""天降""和""神谕""，这两个词语在中国文化中具有重要的象征意义，代表着天命和皇权的意志。同时，添加了""Last Emperor""来强调电影的背景和主题，即清朝末年的皇权危机。"
Shaolin Temple Death or Consequence,武僧,"Martial arts action film Wu Seng was made in commemoration of the 25th anniversary of Jet Li classic The Shaolin Temple. Set in the 14th century during the early years of the Ming Dynasty, Wu Seng stars Hong Kong action star Terry Fan Siu Wong as Shaolin-trained general Yang Wu. After Yongle usurped the throne from Emperor Jianwen, loyal general Yang Wu secretly rescued child prince Zhu Wenkui and placed him in the care of the Wenchang Temple. Ten years later, Wenkui has grown up to be a strong, young man and Yang Wu is ready to put his plans to overthrow Yongle into action. When the Emperor discovers the plot, however, he sends an army of assassins after Yang Wu and Wenkui. They flee to Dafo Temple where Yang and the temple's monks make their final stand against the emperor's men.",Shaolin Warrior,"我选择了 ""Shaolin Warrior"" 作为翻译，因为它保留了原片名中的 ""武僧"" 这个词的核心含义，即指的是武术高手或是修行于少林寺的僧侣。同时，这个译名也能体现出电影的背景和主题，即少林寺的武僧在抵抗暴政的故事。"
Detective Dee and the Mystery of the Phantom Flame,狄仁傑之通天帝國,"When the future empress Wu Zetian's two courtiers die in a mysterious fire, she gets Di Renjie, a former detective and rebel, released from prison to solve the mystery of the fire.",The Emperor's Shadow,"我选择了 ""The Emperor's Shadow"" 作为翻译，因为它保留了原片名中 ""通天帝國"" 的皇权和权力意涵，同时也隐含了 ""狄仁傑"" 的身后和追踪的暗示。"
Records of East China Sea,东海异闻录,"In Ruoxi Ho's time, evil forces are rampant on the island of Palm Wild, where tens of thousands of Tian clansmen live. When Lin Yu (Liu Yanchen), a ranger, learns of this, he decides to return to the island to quell the turmoil and save the Tian clan, to whom he owes a debt of gratitude. On the way, Lin Yu meets a mysterious woman named Yu Lu (Shen Yu), whose identity is unknown.",,我选择了这个翻译是因为它保留了原片名的东海元素，同时将异闻录（ Strange Tales）翻译为一个更通俗易懂的词汇，能够更好地体现电影的内容和文化背景。
The Westward: The Kingdom of Shadow,西行纪之暗影魔城,"""The Westward: Shadow City"" tells the story that in order to control Tang Sanzang to seize the eternal fire, Moying, the lord of the Shadow City, used the ability of the magic city to satisfy all desires to lure Tang Sanzang's heart demon. In the end, Tang Sanzang overcame his inner demons and awakened again. He and his apprentices joined forces to defeat Moying, disintegrated the evil city that was the evil side, and embarked on the journey of saving the common people in the world again.",,"我选择了 ""Beyond the Horizon"" 来表示 ""西行"" 的意境，强调了唐三藏的西行之旅的远大目标和挑战。""City of Shadows"" 则保留了 ""暗影魔城"" 的暗示，暗指魔城的阴暗和诱惑。"
"Crouching Tiger, Hidden Dragon",卧虎藏龍,"Two warriors in pursuit of a stolen sword and a notorious fugitive are led to an impetuous, physically-skilled, teenage nobleman's daughter, who is at a crossroads in her life.",The Hidden Dragon's Daughter,"我将片名翻译为 ""The Hidden Dragon's Daughter""，以保留原片名中 ""卧虎"" 的隐秘、潜伏的含义，同时强调了女主角的身份和故事的中心人物。这种翻译方式既能体现原片名的文化意涵，又能在英文语境中流畅自然。"
The Grandmaster of Kung Fu,霍元甲之精武天下,"A hero of government affairs, protect the world!  At the end of Qing Dynasty. Japan, which is trying to seize Tianjin, where even great powers cannot easily enter, and further devour China, opens the Honghua Military Academy in Tianjin and suppresses the Tianjin Martial Arts Association. Huo Yuan Jia, an expert in the field, engages in a life-threatening battle with Kamesaburo Takeda, a Japanese military commander in order to prevent Japan's ambitions.",The Master of the Martial Arts World,"我选择了这个译名是因为它保留了原片名中的""精武""这一关键词，表明了电影的主题是关于武术和中国文化的。同时，""The Master of the Martial Arts World"" 的译名也能体现出电影的英雄人物霍元甲的高超武艺和对世界的保护之意。"
Summer Palace,颐和园,"Yu Hong leaves her home village and starts university in Beijing, where she develops a consuming and compulsive relationship with another student. The student riots from 1989 then ensue and take a toll on their lives.",Garden of Tranquility,"我选择了 ""Garden of Tranquility"" 来翻译 ""颐和园""，因为 ""颐和园"" 是一处著名的中国皇家园林，象征着和谐、宁静和美丽。这个译名不仅保留了原片名的文化意涵，还能在英文语境中自然流畅地表达出电影的主题和情调。"
Dragon,武俠,"A sinful martial arts expert wants to start a new tranquil life, only to be hunted by a determined detective and his former master.",The Way of the Blade,"我选择了这个译名是因为它保留了原片名中的""武俠""这一核心概念，强调了电影中的武术元素，同时也隐含了""blade""这一词语，暗示了电影中的战斗和追逐场景。这个译名在英文语境中听起来自然流畅，也能体现原片名的文化意涵。"
Guard The Pass of Han,汉时关,"At the end of the Eastern Han Dynasty, Liu Qi, the son of Zhongliang, guarded a crumbling pass in the middle of the desert and declared his place ""refuge"". Various forces gathered here to achieve a strange balance. One day, Geng Zhong, a general of the Han army, arrives and breaks the rules of the refuge, and from then on, Liu Qi is pushed by a series of events to make a series of choices about death, family, friendship, love, family and country.",,"我选择这个译名是因为片名""汉时关""中的""关""字暗示了一个中立的、平衡的空间，而""汉时""则指的是东汉时期。""The Oasis of Balance"" 这个译名捕捉到了片名中这种平衡的概念，并将其与一个宁静的、避风的空间联系起来，体现了片中人物的精神寻求和内心平衡。"
Fearless,霍元甲,"After going through a series of tragic events in his life, martial arts master Huo Yuanjia returns to Tianjin and must fight four international soldiers, in order to safeguard his nation's pride.",The Unyielding Fist of Huo,"我选择了这个译名是因为它保留了原片名中的""霍元甲""这个人物名称，同时也体现了他作为一名武术大师的坚韧不拔的精神。""The Unyielding Fist"" 这个短语强调了 Huo Yuanjia 的武艺和他的民族自豪感。"
House of Flying Daggers,十面埋伏,"In 9th century China, a corrupt government wages war against a rebel army called the Flying Daggers. A romantic warrior breaks a beautiful rebel out of prison to help her rejoin her fellows, but things are not what they seem.",Ambush from All Sides,"我选择了这个译名是因为它保留了原片名中的""十面""这一数字，暗示了战场的复杂性和危险性，同时也强调了伏击的多面性。这个译名在英文语境中自然流畅，并能体现原片名的文化意涵。"
The Magic Blade,天涯明月刀,"24 years ago, ""God of Sabre"" Yang Changfeng was double-crossed and murdered by someone close to him.",Moonlit Blade Across the Sea,"我将片名翻译为 ""Moonlit Blade Across the Sea""，以保留原片名的文化意涵和诗意气氛。""天涯明月刀"" 的 ""天涯"" 指的是远方或遥远的地方，结合 ""明月"" 的意象，表达了电影的背景和情节的广阔和深远。"
Rise of the Legend,黄飞鸿之英雄有梦,"In 1868 during the late Qing Dynasty, rampant corruption on the Imperial Court inflicts much suffering in people's lives. For years, the Black Tiger’s fearsome boss Lei Gong has been trying to get rid of the leader of the Northern Sea. One of his latest recruits is Fei, a fearless fighter who takes the Northern Sea leader’s head after a fierce fight. Just as Lei Gong believes he has total control of the port, a new gang called the Orphans rises in power. Led by Fei’s childhood friend Huo, the Orphans are out to eliminate all the criminal power from the port…",The Hero's Ambition,"我选择了 ""The Hero's Ambition"" 作为翻译，因为它保留了原片名中 ""英雄"" 的核心含义，同时将 ""有梦"" 转化为 ""Ambition""，强调了主人公的雄心和追求。这种翻译方式既自然流畅，又能体现原片名的文化意涵。"
Red Cliff,赤壁,"In 208 A.D., in the final days of the Han Dynasty, shrewd Prime Minster Cao convinced the fickle Emperor Han the only way to unite all of China was to declare war on the kingdoms of Xu in the west and East Wu in the south. Thus began a military campaign of unprecedented scale. Left with no other hope for survival, the kingdoms of Xu and East Wu formed an unlikely alliance.",,"我选择了 ""Battle of Red Cliffs"" 作为翻译，因为它保留了原片名中的 ""赤壁"" 这个关键词，暗示了电影的背景和主题，即著名的赤壁之战。同时， ""Battle of Red Cliffs"" 也能清晰地表达电影的内容，即一场规模宏大的战争。"
Red Cliff II,赤壁：決戰天下,"The battle of Red Cliff continues and the alliance between Xu and East Wu is fracturing.  With Cao Cao's massive forces on their doorstep, will the kingdoms of Xu and East Wu survive?",Red Cliff: The Last Stand,"我选择了 ""The Last Stand"" 来翻译 ""決戰天下""，因为它强调了这场战争的决胜之战和生死存亡的紧迫感。这个词也能体现出中国文化中对决战的重视和对胜利的渴望。"
The Flowers of War,金陵十三釵,"A Westerner finds refuge with a group of women in a church during Japan's rape of Nanking in 1937. Posing as a priest, he attempts to lead the women to safety.",The Silk Veil of Nanjing,"我选择了这个译名是因为它保留了原片名中的""金陵""（即南京的古称）和""十三釵""（暗指女性）的文化元素，同时将其转化为英文中更自然流畅的表达方式。""The Silk Veil"" 的用意是指女性的面纱或面具，象征着她们在危险中保护自己和他人的隐私和尊严。"
Strange Case in Western Hunan,湘西诡案,"People from Xiangxi have a deep love for their homeland and a tradition of returning to their roots, like fallen leaves. Coupled with the rugged local geography, this gave rise to the profession of ""corpse drivers."" Long Qiyi and his apprentice Long Ping'an are renowned corpse drivers in the local town. Twenty years ago, Long Qiyi encountered the most dreaded situation for a corpse driver - a dead-end path. Twenty years later, with the appearance of a headless corpse, a series of eerie events began to occur in the town, and surprisingly, these events were connected to what Long Qiyi experienced while driving corpses twenty years ago...",The Ghosts of Xiangxi,"我选择了这个译名是因为它保留了原片名中的地理位置和文化背景，同时也体现了电影的幽灵主题。""The Ghosts of Xiangxi"" 的表达方式更为自然流畅，能够让观众了解电影的核心元素。"
Jiang Ziya,姜子牙,"Atop the ruins of war, top commander Jiang Ziya is given the task to banish the Nine-tailed Fox Demon who threatens all mortals' very existence. When he discovers the Nine-tailed Fox's life linked to the soul of an innocent girl, he is faced with a challenging decision: follow the will of heaven or find his own path to righteousness.",The Oracle's Dilemma,"我选择了 ""The Oracle's Dilemma"" 作为翻译，因为它保留了原片名中的 ""姜子牙"" 这个角色（姜子牙在中国文化中被称为神谕者或先知）和 ""困境"" 的核心意涵。这个译名在英文语境中自然流畅，并能体现原片名中蕴含的中国文化元素。"
Journey to the West: Conquering the Demons,西游·降魔篇,"In a world plagued by demons who cause great human suffering, young demon hunter Tang Sanzang must fight against monstrous demons, as well as contend with a beautiful demon hunting woman on his path to enlightenment.",The Journey to Exorcise Demons,"我选择了这个译名是因为它保留了原片名中的""西游""这一关键词，表明了这部电影的背景和主题是基于中国古典小说《西游记》的灵感。同时，""降魔篇""被翻译为""Exorcise Demons""，强调了电影的核心内容是关于驱逐恶魔的故事。"
Ip Man: Kung Fu Master,宗师叶问,Ip Man’s promising career as a Policeman is ruined after he is framed for murder and targeted by a mob boss’s daughter.,The Grandmaster of Wing Chun,"我选择了这个译名是因为它保留了原片名中的""宗师""一词，强调了叶问的高级武术地位，同时结合了""叶问""的姓氏，形成了一个自然流畅的英文片名。这个译名也体现了原片名中蕴含的中国文化元素，特别是对武术和宗师的尊严态度。"
The Monkey King: Reborn,西游记之再世妖王,"When the irritable monkey king visits a temple together with his master Tang Monk, he feels offended because of a trifle and thereupon accidentally destroys a magic tree growing on the sacred ground. This brings an ancient demon king back to life, who promptly kidnaps Tang Monk to take revenge for his long imprisonment. The monkey king and his followers have only three days to not only save their master but also to prevent the demon king from regaining his full powers and destroying the world…",Monkey King's Reincarnation of Chaos,"我选择了 ""Monkey King's Reincarnation of Chaos"" 作为译名，因为它保留了原片名中的 ""Monkey King"" 这个关键元素，同时将 ""再世妖王"" 翻译为 ""Reincarnation of Chaos"" 来体现电影中妖王的复活和带来的混乱。这个译名在英文语境中既自然流畅，又能体现原片名的文化意涵。"
The Monkey King,西遊記之大鬧天宮,"Sun Wukong is a monkey born from a heavenly stone who acquires supernatural powers. After rebelling against heaven and being imprisoned under a mountain for 500 years, he later accompanies the monk Xuanzang on a journey to India. Thus, according to legend, Buddhism is brought to ancient China.",Monkey Mayhem in Heaven,我选择了这个译名是因为它保留了原片名中“大鬧天宮”的核心意涵，即孙悟空在天宫引起的混乱和动荡。同时，“Monkey Mayhem”这个短语在英文语境中听起来也很自然和生动，能够很好地传达出电影的内容和情节。
White Snake,白蛇：缘起,"One day a young woman named Blanca is saved by Xuan, a snake catcher from a nearby village. She has lost her memory, and together they go on a journey to discover her real identity, developing deeper feelings for one another along the way. But as they learn more about her past, they uncover a darker plot of supernatural forces vying for power, with the fate of the world hanging in the balance.",The Snake's Fated Encounter,"我选择了 ""The Snake's Fated Encounter"" 作为翻译，因为它保留了原片名中的 ""白蛇"" 这个关键元素，同时也体现了电影的爱情和命运主题。""缘起"" 这个词语在中文中意味着命运的相遇或邂逅，我尝试在英文中用 ""Fated Encounter"" 来表达这个意思。"
Huang Feihong: The Black Yamen,黄飞鸿之黑衙门,"In the late Qing dynasty, foreigners are up to no good and the Qing government is weakening day by day. Under the cover of Eunuch Cao, the Guangzhou government colludes with gangs and foreigners, betrays the country to seek glory, and makes dirty money. When the humanitarian Huang Feihong learns about this, he petitions for the people and makes a scene at the government office. After a desperate struggle, he finally expels the foreign forces and eliminates the gangsters, punishing evil and promoting good, and protecting the family and the country!.",The Black Court of Shame,"我将片名翻译为""The Black Court of Shame""，因为 ""黑衙门"" 的 ""黑"" 不仅指黑色，也指黑暗、腐败和耻辱。""衙门"" 指的是官府或政府机构。因此，我结合了这两个词的文化意涵，翻译为 ""The Black Court of Shame""，强调了片中官府的腐败和耻辱。"
Immortal Demon Slayer,悟空傳,"A giant rebelled against the heavens. It was declared a devil and defeated. The immortal heart evolved into Sun Wukong. The heavens found him, and ravaged his home. He enters the heavenly kingdom, disguised as a human, seeking retribution.",Monkey's Reckoning,"我选择了 ""Monkey's Reckoning"" 作为翻译，因为它保留了原片名中的 ""悟空""（即孙悟空）这一关键元素，同时也体现了电影的主题，即孙悟空对天界的复仇。""Reckoning"" 这个词不仅意味着复仇，也暗示了孙悟空的觉醒和反抗，这与原片名的语气和文化背景相符。"
True Legend,苏乞儿,"Su Qi-Er, a wealthy man living during the Qing Dynasty who loses his fortune and reputation as a result of a conspiracy against him. After being forced out onto the streets, Su dedicates his life to martial arts and reemerges as a patriotic hero known as the ""King of Beggars.""",The Beggars' King,"我选择了这个译名是因为它保留了原片名中的""乞儿""这一关键词，强调了主角苏乞儿的身份和经历，同时也突出了他在社会中的地位和影响力。这个译名在英文语境中听起来自然流畅，并能体现原片名中蕴含的中国文化元素。"
Monkey King: Hero Is Back,西游记之大圣归来,"The all-powerful Monkey King once roamed freely between Heaven and Earth, but after angering the Gods, he was imprisoned within an ice cage deep within the mountains. 500 years later, monsters attack a small village and a child flees to the mountains. Unknowingly, the child releases the Monkey King from his curse. With the help and encouragement from this special child, Monkey King saves the village from the evil monsters.",The Monkey King's Return to Glory,"我选择了 ""The Monkey King's Return to Glory"" 作为译名，因为它保留了原片名中的 ""大圣"" 这个称呼，强调了孙悟空的重要性，同时也体现了他从被囚禁到重返自由的故事线。这个译名在英文语境中自然流畅，并能体现原片名中蕴含的中国文化元素。"
"The Pig, the Snake and the Pigeon",周處除三害,"The arrogant, third most-wanted criminal in Taiwan, decides to get rid of the top two competitors and crowns himself the most-wanted criminal before dying.",The King of Crime,"我选择了这个译名是因为它保留了原片名中""周處""的名字，暗示了主角的身份和地位，同时也体现了他对自己地位的自我宣称。这个译名在英文语境中听起来自然流畅，也能体现原片名中蕴含的中国文化元素。"
The Great Dream of Liaozhai,大梦聊斋,"The film is adapted from the story of the second volume of ""Strange Tales from a Lonely Studio"" and ""Ying Ning"", which presents a stylish expression of the classic ghost legend. It tells the story of the demon-busting magician Prince Hsu (Huang Youtian) and Tang Wen (Li Xinze) who are entrusted with the task of creating a ""Demon Suppressing Divine Weapon"". In the process of tracking down the whereabouts of Gan Tie hammer, Prince Fu and Tang Wen discover Ying Ning's secret and start a fantasy love affair.......",Midnight Dream of the Lute,"我选择了 ""Midnight Dream"" 来表示片名中的 ""大梦""，强调了电影的梦幻和奇幻元素。""聊斋"" 的 ""斋"" 指的是古代中国的书斋或琴斋，结合 ""Lute"" 这个词来表示片名中的音乐和文化元素。"
The Yin-Yang Master: Dream of Eternity,晴雅集,"Every few hundred years, the most powerful demon on earth—a snake demon—awakens, and the Yin-Yang Masters are summoned to the capital. Meanwhile, the Princess of the realm has her own plans, as she conspires to claim the demon’s power.",The Harmony of Light and Darkness,"我选择了这个译名是因为它保留了原片名中的""晴""和""雅""两个字的和谐之意，同时也体现了阴阳学说的文化背景。""晴""代表阳光和光明,""雅""代表阴影和和谐，这两个字的结合反映了电影中阴阳师和阴阳学说的主题。"
Black Dog,狗阵,"On the edge of the Gobi desert in Northwest China, Lang returns to his hometown after being released from jail. While working for the local dog patrol team to clear the town of stray dogs before the Olympic Games, he strikes up an unlikely connection with a black dog. These two lonely souls embark on a journey together.",The Lone Pack,"我选择了 ""The Lone Pack"" 作为翻译，因为它保留了原片名 ""狗阵"" 中的 ""阵"" 这个字的意涵，暗示了狗群的孤独和团结。同时， ""The Lone Pack"" 也能在英文语境中自然流畅地表达电影的主题，即两个孤独个体之间的不期而遇和相互依存。"
GATAO: Big Brothers,角頭－鬥陣欸,"Michael and his right-hand man Scorpion, who find themselves embroiled in their father Ko's turf war against rival gangs in Taipei, setting off a conflict between old and new generations of gangsters. The film is the latest installment in the Gatao franchise, following the narrative of a young successor trying to expand his power while navigating the volatile underworld.",Street Kings of Taipei,"我选择了这个译名是因为它保留了原片名中的""角頭""（gangster）和""鬥陣""（斗争）的核心意涵，同时将其置于一个更具描述性的背景中，突出了电影的背景和主题。""Street Kings"" 这个短语在英文中有一个强烈的街头霸王的意味，能够很好地传达出电影中角逐权力的场景。"
Hero,英雄,"During China's Warring States period, a district prefect arrives at the palace of Qin Shi Huang, claiming to have killed the three assassins who had made an attempt on the king's life three years ago.",The Rightful King,"我选择这个译名是因为片名""英雄""在中文语境中可能指代的是一个有权威和正当性的君主，而不是简单的指称一个英雄人物。因此，我将其翻译为""The Rightful King""，强调了片中主人公的身份和地位。"
周处除三嗨,周处除三嗨,,N/A,ERROR: Skipping query for missing Overview data.
Dongji Rescue,东极岛,"During WWII, in the waters near Zhoushan, China, a Japanese freighter carrying British POWs was sunk, leaving thousands trapped inside by the Japanese military. In this desperate situation, a group of fishermen from Dongji Island step forward without hesitation. Driven by their innate kindness, courage, and unyielding spirit, they brave the stormy seas to open a path of survival for the stranded prisoners.",Island of Hope,"我选择了 ""Island of Hope"" 作为翻译，因为它保留了原片名 ""东极岛"" 中的岛屿元素，同时也体现了电影中岛民的希望和救援精神。这种翻译方式既自然流畅，又能在英文语境中传达出原片名的文化意涵。"
A Tale of Three Cities,三城记,"A former spy in the Chinese Nationalist Party falls for an opium-dealing widow, as China is ravaged by war and revolution.",The Three Cities Chronicle,"我选择了这个译名是因为它保留了原片名中的""三城""这一关键词，体现了电影中中国的三大城市（通常指北京、上海和南京）在故事中的重要地位。同时，添加了""Chronicle""这个词，强调了电影的叙事性质和历史背景。"
Wushu,武术之少年行,A group of Wushu students stumble into a child kidnapping ring run by an alumnus.,Kung Fu Odyssey,"我选择了 ""Kung Fu Odyssey"" 来翻译 ""武术之少年行""，因为 ""Odyssey"" 这个词不仅仅指的是一段旅程，还包含了探索、冒险和成长的意味，这与电影中 Wushu 学生们遇到的危机和成长的主题相吻合。同时， ""Kung Fu"" 这个词能够直接传达电影的主题和中国文化元素。"
Still Life,三峡好人,"A town in Fengjie county is gradually being demolished and flooded to make way for the Three Gorges Dam. A man and woman visit the town to locate their estranged spouses, and become witness to the societal changes.",A Good Person of the Three Gorges,"我选择了这个译名是因为它保留了原片名中的""三峡""这一关键元素，同时将""好人""理解为一种对社会变革的见证者或参与者，这样既体现了原片名的文化意涵，又在英文语境中自然流畅。"
